Unique ID,FD sample ID,FD Run ID,Strain,Cryo mix,Sub-Sample,Ferm Condition,Storage form,Temperature (°C),Container,Bulking,Desiccant,Quantity (g),Sample location,Week 0 CFU/g,Week 2 CFU/g,Week 4 CFU/g,Week 8 CFU/g,Week 12 CFU/g,decay_rate_fitted,Rsquared_fitted,decay_rate_errbar,decay_rate_lower95interval,decay_rate_upper95interval,estimate_day_2e10,Week 0 Aw,Week 2 Aw,Week 4 Aw,Week 8 Aw,Week 12 Aw,,,,
61,22PT1216-3,FDL-105C-T13,Klebsiella variicola,DSR,bulked powder_4_mylar_n,"Glucose, high EPS",Bulked powder,4,Mylar,PVT,5%SIO2,8,Deli case @ D120,2.24E+11,,,,,,,,,,#DIV/0!,0.213,,,,,,,,
62,22PT1216-3,FDL-105C-T13,Klebsiella variicola,DSR,bulked powder_21_mylar_n,"Glucose, high EPS",Bulked powder,21,Mylar,PVT,5%SIO2,8,Deli case @ D120,2.24E+11,,1.25E+10,,,-0.04472636,1,,,,2.35E+01,0.213,,0.271,,,,,,
63,22PT1102-8,FDL-105C-T14,Klebsiella variicola,PVT70%,bulked powder_21_mylar_n,"Glucose, no EPS",Bulked powder,21,Mylar,PVT,5%SIO2,8,Deli case @ D120,5.59E+11,,2.66E+11,8.87E+10,4.98E+10,-0.012950553,0.987123679,0.002049895,-0.015000447,-0.010900658,1.12E+02,0.314,,0.2,0.288,0.306,,,,
64,22PT1102-8,FDL-105C-T14,Klebsiella variicola,PVT70%,pellet_4_mylar_n,"Glucose, no EPS",Pellet,4,Mylar,PVT,5%SIO2,8,Deli case @ D120,7.33E+11,,,,,,,,,,#DIV/0!,0.13,,,,,,,,
65,22PT1102-8,FDL-105C-T14,Klebsiella variicola,PVT70%,bulked powder_4_mylar_n,"Glucose, no EPS",Bulked powder,4,Mylar,PVT,5%SIO2,8,Deli case @ D120,5.59E+11,,,,,,,,,,#DIV/0!,0.314,,,,,,,,
66,22PT1117-5,FDL-105C-T15,Kosakonia sacchari,PVT70%,bulked powder_21_mylar_n,P only,Bulked powder,21,Mylar,PVT,5%SIO2,8,Deli case @ D120,8.55E+10,,3.23E+10,1.22E+10,5.24E+09,-0.014503653,0.998928865,0.000658211,-0.015161865,-0.013845442,4.35E+01,0.291,,0.292,0.282,0.303,,,,
67,22PT1117-5,FDL-105C-T15,Kosakonia sacchari,PVT70%,pellet_4_mylar_n,P only,Pellet,4,Mylar,PVT,5%SIO2,8,Deli case @ D120,1.37E+11,,,,,,,,,,#DIV/0!,0.07,,,,,,,,
68,22PT1117-5,FDL-105C-T15,Kosakonia sacchari,PVT70%,bulked powder_4_mylar_n,P only,Bulked powder,4,Mylar,PVT,5%SIO2,8,Deli case @ D120,8.55E+10,,,,,,,,,,#DIV/0!,0.291,,,,,,,,
69,22PT1102-9,FDL-105C-T16,Klebsiella variicola,DSR,bulked powder_21_mylar_n,"Glucose, no EPS",Bulked powder,21,Mylar,PVT,5%SIO2,8,Deli case @ D120,2.14E+11,,7.41E+10,,,-0.016445492,1,,,,6.26E+01,0.275,,0.291,,,,,,
70,22PT1102-9,FDL-105C-T16,Klebsiella variicola,DSR,pellet_4_mylar_n,"Glucose, no EPS",Pellet,4,Mylar,PVT,5%SIO2,8,Deli case @ D120,4.79E+11,,,,,,,,,,#DIV/0!,0.08,,,,,,,,
71,22PT1102-9,FDL-105C-T16,Klebsiella variicola,DSR,bulked powder_4_mylar_n,"Glucose, no EPS",Bulked powder,4,Mylar,PVT,5%SIO2,8,Deli case @ D120,2.14E+11,,,,,,,,,,#DIV/0!,0.275,,,,,,,,
72,22PT1117-6,FDL-105C-T17,Kosakonia sacchari,DSR,bulked powder_21_mylar_n,P only,Bulked powder,21,Mylar,PVT,5%SIO2,8,Deli case @ D120,8.09E+10,,1.41E+10,,,-0.02714921,1,,,,2.24E+01,0.274,,0.27,,,,,,
73,22PT1117-6,FDL-105C-T17,Kosakonia sacchari,DSR,pellet_4_mylar_n,P only,Pellet,4,Mylar,PVT,5%SIO2,8,Deli case @ D120,1.09E+11,,,,,,,,,,#DIV/0!,0.08,,,,,,,,
74,22PT1117-6,FDL-105C-T17,Kosakonia sacchari,DSR,bulked powder_4_mylar_n,P only,Bulked powder,4,Mylar,PVT,5%SIO2,8,Deli case @ D120,8.09E+10,,,,,,,,,,#DIV/0!,0.274,,,,,,,,
75,22PT1216-2,FDL-105C-T18,Klebsiella variicola,PVT70%,pellet_4_mylar_n,"Glucose, high EPS",Pellet,4,Mylar,PVT,5%SIO2,8,Deli case @ D120,4.18E+11,,,,,,,,,,#DIV/0!,0.06,,,,,,,,
76,22PT1216-2,FDL-105C-T18,Klebsiella variicola,PVT70%,bulked powder_4_mylar_n,"Glucose, high EPS",Bulked powder,4,Mylar,PVT,5%SIO2,8,Deli case @ D120,2.36E+11,,,,,,,,,,#DIV/0!,0.193,,,,,,,,
77,22PT1216-2,FDL-105C-T18,Klebsiella variicola,PVT70%,bulked powder_21_mylar_n,"Glucose, high EPS",Bulked powder,21,Mylar,PVT,5%SIO2,8,Deli case @ D120,2.36E+11,,2.28E+10,,,-0.036222873,1,,,,2.96E+01,0.193,,0.217,,,,,,
